     x       exp(x)
0.007257 0.007239 0.007223
0.007211 0.007183 0.007171
0.007159 0.007130 0.007121
0.007096 0.007080 0.007059
0.007044 0.007025 0.007012
0.006995 0.006979 0.006977
0.006958 0.006953 0.006952
0.006942 0.006942 0.006939
0.006940 0.006943 0.006949
0.006952 0.006965 0.006974
0.006980 0.007008 0.007014
0.007036 0.007053 0.007072
0.007092 0.007113 0.007134
0.007156 0.007181 0.007197
0.007223 0.007251 0.007260
0.007291 0.007306 0.007324
0.007339 0.007352 0.007364
0.007373 0.007382 0.007382
0.007388 0.007391 0.007377
0.007382 0.007376 0.007359
0.007354 0.007334 0.007319
0.007297 0.007278 0.007253
0.007231 0.007208 0.007175
0.007159 0.007130 0.007100
0.007085 0.007052 0.007031
0.007005 0.006984 0.006961
0.006944 0.006923 0.006910
0.006901 0.006880 0.006883
0.006872 0.006870 0.006869
0.006871 0.006874 0.006881
0.006890 0.006901 0.006919
0.006929 0.006953 0.006978
0.006993 0.007029 0.007049
0.007080 0.007106 0.007138
0.007166 0.007198 0.007228
0.007255 0.007292 0.007315
0.007342 0.007377 0.007393
0.007420 0.007435 0.007453
0.007465 0.007475 0.007482
0.007482 0.007486 0.007478
0.007466 0.007467 0.007444
0.007427 0.007410 0.007382
0.007357 0.007326 0.007297
0.007261 0.007230 0.007192
0.007155 0.007128 0.007082
0.007054 0.007020 0.006985
0.006955 0.006924 0.006896
0.006870 0.006848 0.006825
0.006813 0.006793 0.006784
0.006782 0.006771 0.006777
0.006775 0.006783 0.006791
0.006806 0.006819 0.006842
0.006862 0.006888 0.006924
0.006946 0.006988 0.007021
0.007061 0.007099 0.007140
0.007182 0.007224 0.007268
0.007305 0.007352 0.007390
0.007424 0.007469 0.007495
0.007529 0.007554 0.007577
0.007596 0.007607 0.007619
0.007619 0.007619 0.007616
0.007597 0.007587 0.007566
0.007534 0.007513 0.007472
0.007437 0.007394 0.007351
0.007305 0.007256 0.007211
0.007156 0.007114 0.007062
0.007013 0.006973 0.006923
0.006885 0.006842 0.006808
0.006771 0.006745 0.006714
0.006695 0.006675 0.006660
0.006656 0.006645 0.006650
0.006650 0.006662 0.006672
0.006693 0.006712 0.006742
0.006770 0.006805 0.006849
0.006885 0.006939 0.006983
0.007038 0.007089 0.007147
0.007203 0.007262 0.007322
0.007376 0.007439 0.007491
0.007545 0.007599 0.007641
0.007688 0.007722 0.007755
0.007781 0.007798 0.007814
0.007814 0.007813 0.007807
0.007783 0.007764 0.007732
0.007690 0.007653 0.007598
0.007547 0.007487 0.007426
0.007363 0.007294 0.007232
0.007158 0.007096 0.007028
0.006963 0.006903 0.006841
0.006788 0.006733 0.006687
0.006640 0.006605 0.006566
0.006543 0.006515 0.006501
0.006487 0.006483 0.006482
0.006489 0.006500 0.006518
0.006543 0.006571 0.006611
0.006647 0.006700 0.006748
0.006809 0.006868 0.006936
0.007006 0.007080 0.007158
0.007235 0.007320 0.007396
0.007482 0.007560 0.007638
0.007717 0.007785 0.007855
0.007913 0.007967 0.008014
0.008048 0.008079 0.008093
0.008099 0.008099 0.008078
0.008054 0.008020 0.007967
0.007918 0.007851 0.007777
0.007705 0.007615 0.007533
0.007438 0.007347 0.007253
0.007159 0.007070 0.006976
0.006894 0.006806 0.006733
0.006654 0.006590 0.006523
0.006471 0.006417 0.006378
0.006337 0.006313 0.006287
0.006277 0.006267 0.006271
0.006277 0.006296 0.006318
0.006351 0.006390 0.006438
0.006493 0.006554 0.006626
0.006700 0.006787 0.006872
0.006972 0.007068 0.007177
0.007283 0.007397 0.007510
0.007625 0.007741 0.007850
0.007963 0.008063 0.008163
0.008251 0.008328 0.008399
0.008449 0.008491 0.008517
0.008522 0.008517 0.008492
0.008448 0.008397 0.008323
0.008234 0.008149 0.008035
0.007920 0.007805 0.007672
0.007548 0.007412 0.007286
0.007152 0.007032 0.006905
0.006794 0.006680 0.006581
0.006481 0.006396 0.006312
0.006245 0.006178 0.006129
0.006080 0.006049 0.006019
0.006006 0.005995 0.006002
0.006011 0.006036 0.006064
0.006109 0.006157 0.006223
0.006290 0.006376 0.006463
0.006568 0.006674 0.006798
0.006922 0.007062 0.007203
0.007357 0.007513 0.007674
